Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
400,JOR,Jordan,Northern Africa and Western Asia,2006,1764580.76,8493373.599
404,KEN,Kenya,Sub-Saharan Africa,2006,2458056.057,2610185.621
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2006,600621.638,5121653.881
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2006,48994606.7,71600876.82
414,KWT,Kuwait,Northern Africa and Western Asia,2006,99436358.12,226723983.4
417,KGZ,Kyrgyzstan,Central and Southern Asia,2006,599786.5586,2432024.225
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2006,468971.757,926356.611
422,LBN,Lebanon,Northern Africa and Western Asia,2006,1269185.565,2496166.835
426,LSO,Lesotho,Sub-Saharan Africa,2006,2012.528,1316.679
428,LVA,Latvia,Europe,2006,3848860.158,13691940.81
430,LBR,Liberia,Sub-Saharan Africa,2006,504063.26,743807.528
434,LBY,Libya,Northern Africa and Western Asia,2006,39767512.94,79664962.5
440,LTU,Lithuania,Europe,2006,6121109.179,15583051.77
442,LUX,Luxembourg,Europe,2006,5762655.893,8192259.681
446,MAC,"China, Macao SAR",China,2006,277870.7764,373359.4249
450,MDG,Madagascar,Sub-Saharan Africa,2006,511246.9146,560930.5721
454,MWI,Malawi,Sub-Saharan Africa,2006,658066.6969,476447.1974
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2006,44854063.87,95943264.39
462,MDV,Maldives,Central and Southern Asia,2006,147616.0287,195524.9237
