Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
646,RWA,Rwanda,Sub-Saharan Africa,2012,476390.3469,934880.9387
654,SHN,Saint Helena,Sub-Saharan Africa,2012,13005.923,16584.202
659,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,2012,59193.9025,90022.00739
660,AIA,Anguilla,Latin America and the Caribbean,2012,12220.806,33087.137
662,LCA,Saint Lucia,Latin America and the Caribbean,2012,1708753.112,2421631.501
666,SPM,Saint Pierre and Miquelon,Northern America,2012,7669.634,10247.412
670,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,2012,194099.9757,323242.1485
674,SMR,San Marino,Europe,2012,120770.08,87535.683
678,STP,Sao Tome and Principe,Sub-Saharan Africa,2012,105878.0905,127143.6026
682,SAU,Saudi Arabia,Northern Africa and Western Asia,2012,42304816.82,57781377.92
686,SEN,Senegal,Sub-Saharan Africa,2012,4971080.396,8279222.708
688,SRB,Serbia,Europe,2012,6567113.137,9786382.088
690,SYC,Seychelles,Sub-Saharan Africa,2012,546547.0922,542470.9294
694,SLE,Sierra Leone,Sub-Saharan Africa,2012,357175.947,921030.947
699,IND,India,Central and Southern Asia,2012,315975344.2,511038903.9
702,SGP,Singapore,Eastern and South-Eastern Asia (excl. China),2012,137567173.3,197211650.7
703,SVK,Slovakia,Europe,2012,20853706.68,32614528.23
704,VNM,Vietnam,Eastern and South-Eastern Asia (excl. China),2012,37605932.26,53542821.26
705,SVN,Slovenia,Europe,2012,10278231.13,15103754.47
706,SOM,Somalia,Sub-Saharan Africa,2012,676348.601,1376380.232
710,ZAF,South Africa,Sub-Saharan Africa,2012,43494211.73,47424874.98
716,ZWE,Zimbabwe,Sub-Saharan Africa,2012,2985042.928,3367113.573
724,ESP,Spain,Europe,2012,131140427.4,197997180.7
728,SSD,South Sudan,Sub-Saharan Africa,2012,28867.829,67428.784
729,SDN,Sudan,Northern Africa and Western Asia,2012,3330733.806,5512799.619
732,ESH,Western Sahara,Northern Africa and Western Asia,2012,2918.861,3632.422
740,SUR,Suriname,Latin America and the Caribbean,2012,535109.8947,1406818.155
748,SWZ,Eswatini,Sub-Saharan Africa,2012,666965.4234,1170406.231
752,SWE,Sweden,Europe,2012,46431257.74,59171090.35
